talk.id;session;talk.type;date.time;date;time;schedule;speaker.sex;chair.sex;ontime;stop;duration;attendees;attendees.women;attendees.men;silence;chair.question;questions;total.questions;questions.women;questions.men;q1.sex;q1.duration;a1.duration;replicate;q2.sex;q2.duration;a2.duration;q2.replicate;q3.sex;q3.duration;a3.duration;q3.replicate;q4.sex;q4.duration;a4.duration;q4.replicate;q5.sex;q5.duration;a5.duration;q5.replicate;q6.sex;q6.duration;a6.duration;q6.replicate;q7.sex;q7.duration;a7.duration;q7.replicate
GS01.01;GS01;oral;05/02/2019 12:00;05/02/2019;12:00;morning;M;M;yes;no;17;60;17;43;no;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS01.02;GS01;oral;05/02/2019 12:15;05/02/2019;12:15;morning;W;M;yes;no;12;50;17;33;no;no;1;1;0;1;M;10;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS01.03;GS01;oral;05/02/2019 12:30;05/02/2019;12:30;morning;W;M;yes;no;12;50;22;28;yes;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS01.04;GS01;oral;05/02/2019 12:45;05/02/2019;12:45;morning;M;M;yes;no;14;67;29;38;yes;no;1;1;0;1;M;15;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS01.05;GS01;oral;05/02/2019 13:00;05/02/2019;13:00;morning;M;M;yes;no;13;59;24;35;no;no;2;2;1;1;W;12;30;NA;M;25;26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS01.06;GS01;oral;05/02/2019 13:15;05/02/2019;13:15;morning;W;M;yes;no;17;48;17;31;yes;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS01.07;GS01;oral;05/02/2019 16:00;05/02/2019;16:00;afternoon;M;M;yes;no;12;24;8;16;yes;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS01.09;GS01;oral;05/02/2019 16:30;05/02/2019;16:30;afternoon;M;M;yes;no;12;34;11;23;yes;no;1;1;0;1;M;20;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS01.10;GS01;oral;05/02/2019 16:45;05/02/2019;16:45;afternoon;M;M;yes;no;12;43;15;28;yes;no;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
GS02.01;GS02;oral;05/02/2019 12:00;05/02/2019;12:00;morning;M;M;yes;no;12.5;46.5;25.5;21;no;no;1;1;0;1;M;22.5;38.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
